SiteName,Long,Lat
Traugott Terrace Seattle,-122.3456874,47.6149453
Tumwater Apartments (for Seniors And Disabled Persons),-122.9108652,46.9968744
United Indian Youth Home Seattle,-122.3723267,47.6946073
United States Mission,-122.3458391,47.7040846
Urban League Of Metropolitan Seattle Seattle,-122.3144074,47.6019705
Victory Outreach Church Mens Home Seattle,-122.3339015,47.5064234
Villa San Martin,-122.878102,46.145071
Washington State Housing Finance Commission Seattle,-122.3352977,47.6058669
Welcome Home Society,-122.3459242,47.7280637
Wellspring Family Services Seattle,-122.303412,47.58573
West Seattle Helpline Seattle,-122.3761558,47.5442344
Wintonia,-122.3277481,47.613581
Women's Referral Center (for Women),-122.3417711,47.6132035
Women's Wellness Center (for Women),-122.3159563,47.5928083
Ymca Of Greater Seattle Seattle,-122.3327952,47.6054561
Ymca Transitions Supportive Housing Seattle,-122.3012645,47.5842142
Youthcare Transitional Community Homes Seattle,-122.2999053,47.6682109
Ywca Angeline's Center For Homeless Women,-122.3417711,47.6132035
YWCA Emergency Shelter,-122.44266,47.260675
Ywca Emergency Shelter (auburn),-122.213814,47.2997819
Lexington-concord Apartments,-122.3472127,47.614972
Ywca Opportunity Place,-122.3415698,47.613027
Ywca Permanent Housing,-122.3325962,47.6079404
Ywca Project Reunite,-122.3325962,47.6079404
Ywca The Women's Residence,-122.3326552,47.6079196
Ywca Trinity Place Apartments,-122.3242325,47.8199844
